//Index   Message
0         "Blood Castle Cierra en %d minuto(s)"
1         "Blood Castle Cerro"
2         "Blood Castle %d Comenzará en %d minuto(s)"
3         "Blood Castle Empezo"
4         "Todos los monstruos han sido derrotados"
5         "Todos los monstruos jefe han sido derrotados"
6         "Blood Castle Termino"
7         "No eres tan fuerte para entrar en Blood Castle"
8         "%s Dropeo el Arma del angel"
9         "%s Tomó el arma del ángel"
10        "%s Destruyo la Puerta"
11        "%s Destruyo la Estatua"
16        "Chaos Castle Cierra en %d minuto(s)"
17        "Chaos Castle Cerró"
18        "Chaos Castle %d Comenzará en %d minuto(s)"
19        "Chaos Castle Empezo"
20        "Chaos Castle Termino"
32        " "
33        " "
34        " "
35        " "
36        " "
37        " "
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58        " "
64        "No tienes permiso para usar /post"
65        "Debes tener al menos nivel %d Para Usar /post"
66        "Debe Tener por lo menos %d resets Para Usar /post"
67        "Debe ser por lo menos %d Zen Para Usar /post"
68        "Tienes que esperar %d Segundos Para Usar /post"
69        "[POST] %s"
70        "No tienes permiso para usar /add"
71        "Comando exclusivo Para Dark Lord"
72        "No tienes suficientes puntos para añadir"
73        "Debes tener por lo menos %d Zen Para Usar /add"
74        "Se añadieron %d puntos, Te quedan %d Puntos Para añadir"
75        "No tienes permiso para usar/pkclear"
76        "No eres PK"
77        "Debes tener por lo menos %d Zen Para usar /pkclear"
78        "Has eliminado tu PK"
79        "No tienes permiso para usar /money"
80        "Ha introducido un valor no válido para agregar"
81        "No tienes permiso para usar/change"
82        "Debes tener por lo menos %d Zen Para usar /change"
83        "No puedes evolucionar más"
84        "Has evolucionado con éxito"
85        "No tienes permiso para usar /ware"
86        "No puedes utilizar /ware por el momento"
87        "Has ingresado un baul no valido para cambiar"
88        "Cambiaste Baul %d Con exito"
89        "You do not have permission to use /reset"
90        "No tienes permiso para usar /reset por el momento"
91        "Debes tener al menos nivel %d Para usar /reset"
92        "Debes tener por lo menos %d Zen Para usar /reset"
93        "No puede tener más de %d resets"
94        "No se puede Resetiar con items Equipados"
95        "Has resetiado correctamente y ahora tienes %d resets"
96        "No tienes permiso para usar /gmmove"
97        "Has introducido comando no valido /gmmove"
98        "No tienes permiso para usar /gmpost"
99        "No tienes permiso para usar /track"
100       "Has introducido comando no valido /track"
101       "No tienes permiso para usar /trace"
102       "Has introducido comando no valido /trace"
103       "No tienes permiso para usar /disconnect"
104       "Has introducido comando no valido /disconnect"
105       "No tienes permiso para usar /fireworks"
106       "No tienes permiso para usar /make"
107       "Has creado correctamente el item"
108       "No tienes permiso para usar /skin"
109       "Has introducido comando no valido /skin"
110       "No tienes permiso para usar /setmoney"
111       "Has introducido comando no valido /setmoney"
112       "Has introducido comando no valido /setmoney"
113       "No tienes permiso para usar /notice"
114       "Adición automática de puntos (%d)"
115       "Adición automática de puntos: Off"
116       "Automatico Reset: On"
117       "Automatico Reset: Off"
118       "No Tienes Permiso para usar /mreset"
119       "No se puede usar /mreset Por el momento"
120       "Debes tener por lo menos %d Nivel para usar /mreset"
121       "Debes tener por lo menos %d resets Para usar /mreset"
122       "Debes tener por lo menos %d Zen Para usar /mreset"
123       "No Puedes tener mas de %d master resets"
124       "No se puede Resetiar con items Equipados"
125       "Master reset correctamente y ahora tiene %d master resets"
126       "Solicitudes recibidas: On"
127       "Solicitudes recibidas: Off"
128       "Solicitudes recibidas: Automático"
129       "Solo puedes resetiar %d Veces al dia"
130       "Solo puedes resetiar %d veces a la semana"
131       "Solo puedes resetiar %d Veces al mes"
132       "Solo puedes resetiar master %d veces al dia"
133       "Solo puedes resetiar master %d veces a la semana"
134       "Solo puedes resetiar master %d Veces al mes"
135       "No tienes permiso para usar /hide"
144       "Devil Square Cierra en %d minuto(s)"
145       "Devil Square Cerró"
146       "Devil Square %d Comenzará en %d minuto(s)"
147       "Devil Square Empezo"
148       "Devil Square Termino"
149       "No eres tan fuerte para unirte a Devil Square"
160       "El player no esta online"
