/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 000 - Hanzo the Blacksmith
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
0	1	9	0	1	1	0	0	0	0	0	255	255	255	255	255	//Short Sword
0	2	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Rapier
0	3	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Katana
0	4	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sword of Assassin
0	5	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Blade
0	10	7	0	1	1	0	0	0	0	0	255	255	255	255	255	//Light Saber
0	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Kris
0	0	9	0	1	1	0	0	0	0	0	255	255	255	255	255	//Kris
2	6	7	0	1	1	0	0	0	0	0	255	255	255	255	255	//Chaos Dragon Axe
7	0	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Helm
14	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Apple
8	0	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Armor
9	0	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Pants
10	0	9	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Gloves
12	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Twisting Slash
12	13	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Impale
12	14	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Fortitude
12	16	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Fire Slash
12	17	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Penetration
12	19	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Death Stab
12	21	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of FireBurst
12	22	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Summon
12	23	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Critical Damage
12	24	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Electric Spark
end
