/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 001 - Liaman the Barmaid
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
14	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Apple
14	1	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Small Healing Potion
14	2	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Healing Potion
14	3	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Large Healing Potion
14	4	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Small Mana Potion
14	5	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Mana Potion
14	6	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Large Mana Potion
14	8	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Antidote
14	9	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
14	39	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Complex Potion
14	40	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Large Complex Potion
14	35	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Small SD Potion
14	36	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//SD Potion
end
